unix,date,open,high,low,close,volume_base
1664533800,2022-09-30 10:30:00,19528.98,19550.0,19441.92,19485.77,8473.01701
1664535600,2022-09-30 11:00:00,19485.77,19519.0,19433.08,19513.98,6946.64866
1664537400,2022-09-30 11:30:00,19513.83,19514.94,19400.32,19436.29,7993.08769
1664539200,2022-09-30 12:00:00,19435.79,19503.9,19371.6,19467.38,10205.15111
1664541000,2022-09-30 12:30:00,19470.05,19476.71,19155.36,19297.19,21063.67532
1664542800,2022-09-30 13:00:00,19298.59,19313.12,19234.88,19253.0,11669.8149
1664544600,2022-09-30 13:30:00,19252.79,19484.0,19237.19,19472.09,16753.83345
1664546400,2022-09-30 14:00:00,19472.09,19609.79,19436.49,19594.64,16168.92056
1664548200,2022-09-30 14:30:00,19595.33,20058.24,19580.0,19993.09,30463.85135
1664550000,2022-09-30 15:00:00,19994.45,20185.0,19992.77,20032.78,20094.19788
